Open,High,Low,Close,Volume,Momentum
12650,12650,12650,12650,3365,0
12600,12600,12550,12600,3078,-50
12600,12600,12500,12600,14118,-100
12600,12650,12600,12600,881,-100
12650,12650,12600,12650,673,0
12550,12650,12550,12600,1143,-100
12650,12650,12550,12600,1988,-100
12600,12650,12550,12650,13333,-50
12650,12650,12600,12650,673,-50
12650,12650,12600,12650,2638,-50
12650,12650,12600,12650,3386,-50
12650,12650,12600,12650,2026,-50
12650,12650,12600,12650,799,0
12650,12650,12600,12650,1177,-50
12600,12650,12600,12650,382,-50
12700,12700,12600,12650,1873,-50
12700,12700,12650,12700,1089,0
12700,12700,12650,12700,551,0
12700,12700,12650,12650,531,-50
12700,12700,12650,12700,1748,0
12700,12700,12650,12700,517,-50
12700,12700,12650,12700,508,0
12700,12700,12650,12700,533,50
12700,12700,12650,12700,548,-50
12650,12700,12650,12700,1225,-100
12700,12700,12650,12700,1847,0
12700,12700,12650,12650,1138,-50
12700,12700,12650,12700,199,0
12700,12700,12650,12700,2034,0
12700,12700,12650,12700,5819,50
12700,12700,12650,12700,3269,0
12650,12700,12650,12700,381,0
12700,12700,12600,12700,7206,50
12700,12750,12650,12700,1621,50
12700,12750,12650,12750,1298,100
12700,12700,12650,12700,2367,50
12750,12750,12650,12650,3087,0
12750,12800,12700,12750,1058,50
12650,12800,12650,12800,6162,150
12700,12700,12700,12700,2573,50
12650,12700,12650,12700,4836,50
12650,12750,12650,12700,10362,0
12650,12700,12650,12700,6014,0
12650,12700,12650,12650,4482,0
12700,12700,12650,12700,2472,50
12650,12700,12650,12700,1357,50
12700,12700,12650,12650,741,-50
12700,12700,12650,12650,1191,-50
12650,12700,12650,12650,1147,-50
12650,12700,12650,12650,1473,-50
12700,12700,12650,12650,1186,-50
12650,12700,12650,12700,1248,0
12700,12700,12650,12650,1031,0
12650,12700,12650,12650,1610,0
12700,12700,12650,12650,936,-50
12750,12750,12650,12700,3667,50
12700,12700,12650,12700,9021,0
12650,12700,12650,12650,2802,-100
12650,12700,12650,12650,1286,-50
12750,12750,12650,12650,3374,-150
12700,12750,12650,12700,3727,0
12700,12750,12700,12700,2591,-50
12750,12800,12700,12700,3151,-50
12700,12750,12650,12700,3363,-100
12700,12750,12650,12700,3541,-200
12650,12750,12650,12700,6999,-250
12650,12700,12650,12650,1408,-300
12650,12700,12650,12650,580,-150
12700,12700,12650,12700,1310,-100
12750,12750,12650,12650,10070,-50
12700,12750,12700,12700,1829,50
12750,12800,12700,12750,1931,100
12800,12800,12700,12700,1531,50
12750,12800,12700,12800,3360,150
12750,12800,12700,12700,7510,50
12750,12800,12700,12750,8841,100
12750,12850,12750,12750,3657,100
12900,12900,12750,12800,4010,150
12900,12900,12900,12900,1203,200
12900,13000,12900,12950,11032,250
12800,12950,12800,12950,13389,250
12800,12900,12750,12800,14344,100
12700,12850,12700,12800,15856,100
12650,12750,12650,12700,17008,0
12650,12700,12650,12650,3844,-100
12650,12700,12650,12650,5113,-100
12650,12700,12650,12650,3586,-100
12650,12700,12650,12650,2589,-150
12650,12700,12650,12650,2275,-100
12650,12700,12650,12650,2103,-100
12650,12700,12650,12650,3251,-100
12700,12750,12650,12650,5309,-150
12700,12750,12700,12700,4454,-100
12700,12750,12700,12700,3822,-100
12700,12750,12700,12700,3739,-100
12700,12800,12700,12700,3537,-100
12700,12800,12700,12700,3911,-50
12750,12800,12700,12700,3932,-100
12750,12800,12700,12750,4399,-50
12800,12800,12750,12750,3164,-100
12800,12850,12750,12750,4377,-50
12800,12850,12750,12800,4999,-50
12750,12850,12750,12750,4564,-100
12750,12850,12750,12750,2703,200
12750,12850,12750,12750,3559,200
12800,12850,12750,12800,4083,300
12800,12900,12800,12800,3321,300
12800,12900,12800,12800,3258,300
12800,12850,12750,12800,3908,300
12800,12850,12750,12800,3119,300
12800,12800,12750,12750,3298,200
12850,12850,12750,12800,3623,250
12800,12900,12750,12800,3799,200
12850,12900,12800,12850,2971,250
12850,12900,12800,12800,3851,200
12900,12900,12800,12850,7332,300
12650,13000,12650,12850,13837,350
12550,12550,12550,12550,1576,-100
12550,12550,12500,12550,4146,-150
12500,12550,12500,12500,2870,-150
12500,12550,12500,12500,3842,-250
12500,12550,12500,12500,1104,-250
12550,12550,12500,12500,1481,-200
12600,12600,12500,12500,4029,-250
12600,12600,12500,12550,10607,-200
12550,12600,12550,12550,4217,-200
12600,12600,12550,12600,296,-150
12550,12600,12550,12600,580,-50
12550,12600,12550,12600,3999,-100
12550,12600,12500,12550,4895,-150
12650,12700,12500,12500,9235,-100
12700,12700,12650,12650,1317,50
12700,12750,12650,12700,948,0
12750,12750,12650,12650,840,-100
12750,12750,12700,12750,579,200
12750,12750,12700,12750,33,200
12750,12750,12700,12700,80,150
12750,12750,12700,12750,47,150
12750,12750,12700,12750,186,150
12750,12750,12700,12750,635,200
12700,12750,12650,12750,594,150
12700,12700,12650,12650,1241,50
12700,12700,12650,12700,109,0
12650,12700,12650,12700,109,-100
12650,12650,12600,12600,286,-250
12650,12700,12600,12600,230,-200
12800,12800,12600,12700,1814,0
12600,12750,12550,12750,4844,100
12550,12600,12550,12550,575,-150
12600,12600,12550,12550,1029,-150
12600,12600,12550,12550,1098,-100
12550,12600,12550,12600,1543,-50
12600,12600,12550,12600,2346,0
12600,12600,12550,12550,606,-50
12600,12600,12500,12600,8192,50
12550,12700,12450,12600,4155,100
12700,12700,12700,12700,2550,200
12850,12850,12800,12800,5188,350
12800,12850,12750,12850,6822,400
12750,12850,12750,12800,13496,350
12700,12750,12650,12700,5904,300
12700,12750,12600,12650,8094,200
12650,12750,12600,12700,6219,300
12700,12700,12650,12700,5560,300
12600,12650,12600,12650,4964,250
12550,12650,12550,12650,5012,250
12600,12650,12550,12600,4730,250
12500,12650,12500,12600,4936,200
12500,12550,12500,12550,4794,150
12500,12550,12500,12500,1807,150
12500,12500,12450,12500,534,150
12450,12500,12450,12450,671,100
12450,12500,12450,12450,500,100
12400,12500,12400,12450,4766,50
12400,12450,12400,12400,1746,-50
12400,12450,12400,12450,1761,0
12400,12450,12400,12400,376,-50
12400,12450,12400,12400,303,0
12350,12400,12350,12400,505,-100
12350,12400,12350,12400,1269,-150
12350,12400,12350,12350,78,-200
12400,12400,12350,12400,6208,50
12350,12400,12350,12400,2953,0
12350,12400,12350,12350,955,50
12350,12400,12350,12350,507,0
12350,12400,12350,12350,6271,0
12400,12400,12350,12350,2439,50
12450,12450,12350,12400,2558,100
12450,12450,12400,12450,489,150
12450,12450,12400,12450,3182,150
12400,12450,12350,12450,4692,150
12500,12500,12300,12400,7134,100
12550,12550,12500,12500,1064,150
12550,12550,12500,12550,3833,200
12400,12550,12400,12550,6049,150
12350,12350,12350,12350,4259,-50
12300,12400,12300,12400,4827,-50
12350,12400,12300,12300,4453,-100
12350,12400,12300,12350,14020,-50
12300,12400,12300,12350,7031,-50
12300,12400,12300,12300,6978,-100
12300,12350,12300,12300,5440,-150
12300,12400,12300,12300,4405,-100
12300,12400,12250,12300,4692,-150
12300,12350,12250,12300,3212,-150
12350,12400,12250,12300,22565,-200
12350,12400,12350,12350,4874,-100
12400,12400,12350,12350,5416,-150
12400,12450,12350,12400,5059,-50
12450,12450,12400,12400,3502,-100
12400,12450,12400,12450,4712,-50
12400,12450,12400,12400,3325,-100
12400,12450,12400,12400,6180,-150
12400,12450,12400,12400,3648,-150
12400,12450,12400,12400,3366,-150
12400,12450,12400,12450,3858,-150
12450,12500,12400,12400,9144,-250
12450,12500,12450,12450,3910,-100
12450,12500,12450,12450,4017,-200
12450,12500,12450,12500,4118,-200
12500,12550,12450,12450,12042,-400
12450,12550,12450,12500,3962,-400
12500,12550,12450,12450,10477,-400
12500,12550,12500,12500,4595,-400
12500,12550,12500,12500,3947,-350
12550,12600,12500,12500,12011,-350
12550,12600,12550,12550,2576,-350
12550,12650,12550,12550,4202,-350
12600,12600,12550,12550,13040,-350
12650,12650,12600,12600,6096,-300
12650,12700,12550,12650,5631,-250
12650,12650,12550,12550,18310,-300
12700,12750,12600,12650,9186,-250
12800,12800,12700,12700,6859,-200
12850,12850,12850,12850,17666,-50
12850,12900,12850,12900,8310,-50
12850,12900,12850,12850,2666,-100
12850,12900,12850,12900,5392,-100
12850,12900,12850,12850,3620,-100
12900,12950,12850,12850,6003,-100
12900,12950,12900,12900,3603,0
12850,12950,12850,12900,6137,0
12900,12950,12850,12900,4402,0
12850,12950,12850,12900,5008,0
12900,12950,12850,12900,4203,0
12900,12900,12850,12850,6075,-50
12900,12950,12900,12900,4907,0
12900,12950,12900,12900,6920,0
12950,13000,12900,12900,5279,-50
12900,13000,12900,12950,6190,0
12950,13000,12900,12950,5190,0
12950,13000,12900,13000,4718,50
12950,13000,12900,12950,4156,-50
12900,12950,12900,12950,9054,0
12900,12950,12900,12900,3399,0
12900,12950,12900,12900,3250,-150
12900,12950,12900,12900,4720,-150
12900,12950,12900,12900,3121,-100
12900,13000,12900,12900,12169,-100
12900,12950,12900,12900,2207,50
12900,12950,12900,12900,3913,-50
12950,13000,12900,12900,3347,0
12950,13000,12950,12950,2328,100
12950,13000,12950,12950,3171,0
12950,13000,12950,12950,1987,50
13000,13000,12950,12950,2551,-50
12950,13050,12950,13000,6683,-50
12900,12950,12900,12950,5371,-100
13050,13050,12900,12900,7720,-150
13050,13100,13050,13050,3670,50
13000,13150,13000,13050,7356,0
13000,13100,12950,13000,14254,-50
13000,13050,12900,13000,7080,-50
12850,12850,12850,12850,5736,-250
12850,12950,12850,12950,9364,-150
12900,12950,12850,12900,6241,-150
12950,12950,12850,12850,15030,-200
12900,12950,12900,12950,5987,-50
13050,13050,12900,12900,25776,-100
13000,13050,13000,13000,7501,0
13050,13050,13000,13050,6342,0
13000,13100,13000,13050,6270,0
13000,13050,13000,13050,5938,0
13000,13100,13000,13000,4879,-50
13100,13100,13050,13050,8391,-50
13050,13100,13050,13050,2920,-50
13100,13150,13050,13050,3273,-100
13100,13150,13050,13100,4178,-50
13050,13150,13050,13100,4075,-100
13050,13100,13050,13050,7181,-250
13050,13100,13000,13050,3855,-250
13050,13050,13000,13000,9164,-300
13050,13050,13000,13000,2809,-300
13050,13050,13000,13000,3214,-200
13050,13100,13000,13050,8555,-150
13100,13100,13050,13050,2835,-150
13100,13100,13050,13050,2607,-150
13050,13100,13050,13050,2264,-150
13100,13150,13000,13100,11857,-300
13200,13200,13100,13100,5951,-350
13150,13200,13150,13150,4411,-150
13200,13200,13150,13150,2382,-50
13300,13300,13150,13200,6766,-50
13300,13300,13250,13300,1759,100
13300,13350,13250,13300,8906,50
13300,13300,13250,13300,3807,100
13200,13300,13200,13300,2148,100
13250,13250,13200,13200,2622,0
13250,13350,13200,13200,5178,-50
13200,13250,13150,13200,8204,-100
13200,13250,13150,13200,8906,-50
13350,13350,13100,13200,15430,0
13400,13400,13400,13400,11459,250
13250,13450,13250,13450,21576,250
13200,13300,13200,13300,7550,50
13200,13250,13200,13200,8889,0
13200,13250,13200,13250,3076,50
13200,13300,13200,13200,3861,0
13200,13250,13200,13250,4507,50
13200,13300,13200,13200,3522,0
13200,13250,13200,13200,2952,-50
13250,13300,13200,13200,2760,0
13300,13300,13250,13250,1879,-50
13150,13300,13150,13300,6169,50
13150,13250,13150,13250,11194,0
13200,13200,13150,13200,2040,-50
13200,13250,13150,13150,2989,-50
13200,13250,13200,13200,1481,-50
13200,13250,13200,13250,1569,0
13200,13250,13200,13200,2593,0
13250,13250,13200,13200,3878,-50
13250,13250,13200,13200,2031,-100
13200,13250,13200,13200,2482,-200
13200,13250,13200,13200,3543,-250
13200,13250,13200,13250,4246,-200
13200,13300,13200,13200,3064,-400
13250,13300,13200,13300,2508,-300
13250,13300,13200,13250,3821,-300
13250,13300,13200,13250,3413,-350
13250,13300,13200,13250,2332,-350
13250,13300,13200,13200,6449,-350
13200,13300,13200,13250,5212,-300
13200,13300,13200,13250,5602,-350
13250,13250,13150,13200,14221,-350
13250,13300,13250,13250,4664,-350
13400,13450,13250,13300,14710,-250
13500,13500,13400,13400,3784,-200
13450,13500,13400,13450,7524,-150
13550,13550,13400,13450,9147,-150
13600,13600,13500,13600,12131,-50
13800,13800,13550,13600,13789,-50
13550,13550,13550,13550,15239,-100
13600,13650,13550,13600,7511,0
13550,13650,13550,13600,9750,0
13550,13650,13550,13550,10128,-50
13600,13600,13550,13550,4066,-50
13550,13600,13500,13600,16125,0
13550,13600,13550,13550,4499,0
13600,13650,13550,13600,4601,50
13600,13650,13550,13550,7971,-50
13650,13650,13600,13600,4421,0
13600,13650,13600,13600,4451,0
13600,13650,13600,13600,3060,0
13600,13650,13600,13650,2936,100
13600,13650,13600,13650,3076,50
13600,13650,13600,13650,2130,150
13600,13650,13600,13600,2060,50
13600,13650,13600,13600,2366,0
13650,13650,13550,13600,3618,0
13650,13650,13600,13600,2325,0
13600,13600,13550,13600,3757,-50
13550,13600,13550,13550,2170,-200
13600,13600,13550,13550,3009,-200
13600,13600,13550,13600,2919,-100
13600,13600,13550,13600,8656,-250
13550,13600,13550,13600,3619,-250
13600,13600,13550,13600,3307,150
13550,13600,13500,13550,5523,100
13500,13600,13500,13600,6255,150
13550,13600,13500,13500,4814,100
13550,13600,13500,13550,8372,100
13650,13650,13550,13600,6140,150
13550,13650,13550,13600,3998,150
13650,13650,13500,13600,9704,200
13750,13750,13600,13650,15114,300
13750,13750,13650,13750,20326,350
13800,13800,13700,13750,19653,350
13850,13850,13700,13700,18502,300
13800,13900,13600,13850,43988,500
13950,14100,13800,13850,99956,450
13450,13450,13450,13450,10162,50
13450,13500,13400,13450,10258,50
13400,13500,13400,13450,12144,150
13400,13500,13350,13400,11616,50
13400,13450,13400,13450,5934,50
13400,13450,13400,13450,9386,100
13350,13450,13350,13450,6341,100
13350,13450,13350,13400,9741,50
13350,13450,13350,13350,5811,50
13450,13450,13350,13400,12776,200
13400,13450,13400,13400,5513,200
13350,13450,13350,13400,6113,200
13400,13450,13350,13350,5529,200
13350,13400,13350,13400,11436,300
13350,13400,13350,13400,4513,250
13300,13400,13300,13400,7381,200
13350,13350,13300,13300,3945,100
13350,13400,13300,13350,3626,150
13300,13400,13300,13400,4496,350
13300,13400,13300,13350,6238,300
13300,13350,13250,13350,6611,400
13300,13350,13250,13350,13844,300
13250,13300,13200,13300,13292,200
13250,13250,13200,13200,8082,0
13250,13250,13150,13200,7209,0
13150,13250,13150,13200,9134,250
13150,13200,13100,13150,3345,100
13150,13200,13050,13100,3709,150
13200,13250,13150,13150,2208,250
13200,13250,13150,13200,7872,250
13200,13250,13150,13200,6169,300
13050,13200,13050,13200,18392,250
13050,13100,13000,13050,2010,100
13000,13050,12950,13050,4910,100
13050,13100,12950,12950,9867,-50
13050,13100,13000,13050,5805,50
13200,13250,13100,13100,9252,150
13150,13250,13150,13200,6483,250
12950,13200,12950,13200,17170,300
12950,12950,12950,12950,6652,50
12950,13050,12900,13050,7160,150
12900,13000,12900,12950,7755,100
12950,13050,12900,12900,11606,100
12900,13000,12900,12950,4965,100
12950,13000,12900,12900,7962,150
12950,13000,12950,12950,5585,200
12950,13000,12950,12950,10421,200
13000,13050,12950,12950,11533,250
13000,13050,13000,13000,4178,300
12950,13100,12950,13000,14300,300
12950,13000,12950,12950,6228,300
12900,13000,12900,12950,15389,250
12900,12950,12900,12900,4507,200
12900,12950,12850,12900,6149,200
12850,12950,12850,12900,16128,200
12800,12900,12800,12850,11882,100
12850,12850,12800,12800,1521,100
12750,12850,12750,12850,3402,250
12750,12850,12750,12750,4009,50
12750,12800,12750,12750,3105,50
12700,12800,12700,12750,4474,50
12750,12750,12700,12700,1746,50
12750,12750,12700,12700,4520,50
12700,12750,12650,12700,2343,-50
12700,12750,12600,12650,11414,100
12750,12750,12650,12700,2399,150
12750,12750,12700,12700,1148,200
12700,12750,12700,12700,2787,250
12750,12750,12650,12700,7205,250
12700,12750,12650,12750,4506,300
12600,12700,12600,12700,566,150
12650,12700,12600,12600,1569,100
12650,12700,12600,12700,2663,200
12700,12750,12650,12700,10189,200
12650,12750,12650,12700,6820,200
12700,12700,12600,12650,11514,200
12700,12750,12650,12650,7708,150
12550,12800,12550,12750,18192,300
12550,12550,12550,12550,6400,100
12500,12550,12500,12550,6038,100
12450,12550,12450,12500,2795,50
12450,12500,12450,12450,3581,0
12500,12550,12450,12450,2447,-50
12550,12550,12450,12450,6128,50
12550,12550,12500,12550,2166,200
12500,12550,12500,12500,3504,150
12450,12550,12450,12500,8142,150
12500,12500,12450,12500,3556,200
12450,12500,12450,12500,3416,200
12500,12500,12400,12450,2579,100
12450,12500,12400,12500,2142,200
12450,12500,12400,12450,3080,150
12500,12500,12400,12450,4234,150
12450,12500,12400,12450,3584,200
12450,12500,12450,12450,1853,200
12500,12500,12400,12450,1238,100
12450,12500,12400,12500,3920,150
12350,12450,12350,12400,1566,0
12400,12450,12350,12350,3447,-50
12350,12400,12300,12350,3032,0
12300,12400,12300,12350,1444,-100
12300,12400,12300,12300,2424,-100
12300,12350,12250,12300,2252,0
12250,12350,12250,12350,2493,-50
12250,12300,12250,12300,4579,-200
12250,12300,12250,12300,3189,-150
12300,12350,12250,12300,2183,-150
12250,12350,12250,12250,6627,-200
12350,12350,12250,12250,1958,-200
12250,12350,12250,12350,541,-50
12350,12400,12200,12350,13103,-100
12400,12400,12350,12400,1095,-50
12400,12400,12300,12400,2283,-50
12450,12450,12350,12350,6825,-150
12400,12450,12400,12450,1388,0
12300,12400,12300,12400,5525,-50
12350,12500,12300,12300,11305,-150
12400,12400,12400,12400,2942,-100
12450,12500,12400,12500,3718,0
12450,12500,12450,12450,892,0
12450,12500,12400,12450,1115,-50
12450,12500,12400,12450,7658,0
12400,12500,12400,12450,1444,-50
12450,12500,12400,12400,3423,-150
12450,12500,12450,12450,992,-50
12450,12500,12450,12450,3149,-50
12450,12500,12450,12450,806,-50
12450,12500,12450,12500,1330,0
12450,12500,12450,12450,978,-50
12500,12500,12450,12450,918,-50
12500,12550,12450,12450,3424,-50
12500,12550,12500,12500,970,-50
12450,12550,12450,12500,1500,0
12450,12550,12450,12450,1598,-100
12450,12500,12450,12500,1201,-50
12500,12550,12450,12450,1052,-50
12550,12550,12500,12500,1265,-100
12500,12550,12500,12550,1080,-50
12500,12550,12500,12500,680,-150
12500,12550,12500,12500,694,-150
12500,12550,12500,12500,2937,-100
12500,12550,12500,12500,1221,-50
12500,12600,12500,12500,545,-100
12500,12600,12500,12500,1092,-150
12550,12550,12500,12500,1979,-50
12500,12550,12500,12550,1548,0
12550,12600,12500,12500,1411,-50
12550,12550,12500,12550,806,0
12500,12600,12500,12550,4322,-50
12600,12600,12500,12500,1852,-50
12600,12650,12500,12600,8487,0
12600,12650,12600,12600,942,0
12600,12650,12600,12650,1155,0
12600,12650,12600,12650,3374,50
12550,12600,12550,12600,1422,0
12650,12650,12500,12550,2264,-50
12600,12600,12600,12600,3446,-50
12550,12650,12550,12650,1830,50
12550,12650,12550,12550,3779,-50
12550,12600,12550,12550,2094,-100
12550,12600,12550,12550,3478,-50
12600,12600,12550,12550,1643,-100
12550,12650,12550,12600,2797,-50
12550,12600,12550,12550,2832,-50
12600,12600,12550,12600,2833,0
12550,12650,12550,12600,2613,0
12600,12650,12550,12650,4020,0
12600,12650,12600,12600,1728,-50
12600,12650,12600,12600,2095,-50
12650,12700,12600,12600,1017,-100
12600,12650,12600,12650,2111,-100
12600,12650,12600,12600,2590,-150
12650,12650,12600,12600,736,-100
12600,12650,12600,12650,596,-100
12650,12650,12600,12600,1174,-100
12600,12650,12600,12650,1254,0
12600,12650,12600,12650,752,-50
12600,12650,12600,12600,863,-100
12600,12650,12600,12600,677,-100
12650,12650,12600,12600,610,50
12650,12650,12600,12650,5704,50
12650,12700,12650,12650,4686,100
12750,12750,12650,12650,2784,50
12750,12800,12700,12700,4785,150
12700,12750,12700,12750,885,250
12700,12750,12700,12750,1210,200
12750,12750,12700,12700,6112,150
12700,12750,12700,12750,1589,200
12650,12750,12650,12700,6356,150
12750,12750,12650,12650,3145,100
12700,12700,12650,12700,2183,150
12700,12750,12650,12700,9031,150
12600,12750,12600,12700,6305,150
12600,12650,12500,12550,4583,0
12600,12600,12400,12600,4734,50
12550,12550,12550,12550,1598,0
12500,12600,12500,12600,2776,50
12500,12550,12500,12550,2537,100
12550,12600,12500,12500,1617,50
12550,12600,12550,12550,1600,100
12550,12600,12550,12550,1757,50
12550,12600,12550,12550,1299,50
12550,12600,12550,12550,1587,50
12550,12600,12550,12550,890,50
12550,12600,12550,12550,2719,100
12600,12600,12550,12550,1737,50
12550,12600,12550,12550,1234,50
12550,12600,12550,12550,1298,0
12550,12600,12550,12550,1754,0
12600,12600,12550,12550,1565,100
12450,12600,12450,12550,9982,100
12450,12500,12450,12450,806,-100
12450,12500,12450,12450,801,-100
12500,12500,12450,12450,716,-150
12500,12550,12500,12500,861,-50
12500,12550,12500,12500,568,-50
12500,12550,12500,12500,2431,-50
12450,12550,12450,12500,754,-100
12500,12550,12450,12450,2152,-150
12550,12550,12500,12500,1496,0
12500,12600,12500,12500,5507,-50
12550,12600,12500,12550,1528,0
12450,12600,12450,12550,1273,50
12450,12500,12450,12450,1034,-50
12500,12550,12450,12450,5212,-50
12550,12550,12550,12550,996,50
12550,12600,12550,12550,190,50
12500,12600,12500,12600,266,100
12550,12600,12500,12550,575,100
12600,12600,12550,12550,2572,100
12600,12600,12550,12550,4128,100
12600,12600,12550,12600,2676,150
12500,12600,12450,12600,2714,150
12550,12550,12450,12500,1537,50
12550,12550,12550,12550,6630,100
12550,12550,12500,12550,4417,100
12500,12550,12500,12500,2139,50
12450,12550,12450,12500,5713,50
12500,12550,12450,12500,5191,50
12550,12550,12500,12500,1915,100
12450,12550,12450,12500,8690,100
12500,12500,12450,12500,4251,100
12450,12500,12450,12450,1339,100
12450,12500,12450,12450,1130,50
12450,12500,12450,12450,668,50
12450,12500,12450,12450,2830,50
12450,12500,12450,12450,1335,0
12450,12500,12450,12450,2209,50
12450,12500,12450,12450,882,50
12450,12500,12450,12450,5495,0
12400,12500,12400,12450,4135,100
12400,12450,12400,12450,785,50
12400,12450,12400,12450,967,50
12400,12450,12400,12400,792,0
12350,12450,12350,12400,2367,-50
12350,12450,12350,12400,2062,-50
12400,12450,12350,12350,5142,-50
12400,12450,12400,12400,2115,50
12400,12450,12400,12400,1244,100
12450,12450,12400,12400,1101,250
12400,12450,12400,12450,1969,300
12400,12450,12400,12400,813,250
12400,12500,12400,12400,5673,250
12350,12450,12350,12450,1848,300
12400,12400,12350,12350,1869,200
12350,12400,12350,12400,1740,200
12350,12450,12350,12400,740,200
12450,12450,12350,12400,1715,200
12450,12450,12400,12450,1495,350
12400,12450,12350,12450,7257,350
12350,12400,12350,12400,2882,250
12300,12400,12300,12350,5345,250
12150,12300,12150,12300,5688,150
12150,12150,12150,12150,8587,0
12150,12200,12150,12150,2363,-50
12150,12200,12150,12150,2218,-50
12200,12200,12150,12150,2513,-50
12150,12200,12150,12150,1893,-100
12200,12250,12150,12150,4093,-50
12200,12250,12200,12200,2660,0
12150,12250,12150,12200,6583,0
12100,12200,12100,12200,2447,0
12100,12200,12100,12100,3037,-100
12150,12200,12100,12100,4298,-100
12100,12200,12100,12150,3933,-50
12200,12200,12100,12100,7355,-150
12150,12200,12150,12150,2668,-50
12200,12200,12150,12150,2121,-50
12200,12250,12150,12200,3639,-50
12200,12250,12200,12200,4013,0
12200,12250,12200,12200,3220,0
12200,12250,12200,12250,1940,0
12200,12250,12200,12200,2070,-50
12250,12250,12200,12200,2199,0
12200,12250,12200,12200,1963,-50
12200,12250,12200,12200,1996,-50
12200,12250,12200,12200,2403,-100
12200,12250,12200,12200,2925,-100
12250,12250,12200,12200,3730,-200
12200,12300,12200,12250,1973,-200
12200,12300,12200,12200,3274,-200
12250,12300,12200,12200,3283,-200
12200,12300,12200,12250,2050,-100
12200,12300,12200,12200,3864,-100
12250,12300,12200,12200,3617,-150
12200,12300,12200,12250,4247,-100
12200,12250,12200,12250,2113,-100
12250,12250,12200,12200,3227,-100
12300,12300,12200,12250,9090,-100
12300,12300,12250,12250,4358,-100
12300,12350,12250,12300,4814,-50
12350,12400,12300,12300,7066,-50
12400,12400,12400,12400,10572,50
12400,12450,12350,12450,6396,100
12400,12450,12400,12400,4373,50
12350,12400,12300,12400,10870,50
12300,12400,12300,12350,7213,0
12350,12400,12300,12300,6048,0
12350,12400,12350,12350,4966,0
12350,12450,12350,12350,8159,0
12300,12400,12300,12350,5757,0
12300,12350,12300,12300,4291,-50
12350,12400,12300,12350,11153,-50
12350,12400,12350,12350,6456,-50
12400,12400,12350,12350,3207,-50
12350,12400,12350,12350,3628,-50
12350,12400,12350,12350,3112,-100
12350,12400,12350,12350,4308,-100
12350,12400,12350,12350,4940,-100
12350,12400,12300,12350,3852,-150
12350,12400,12300,12350,4600,-150
12350,12400,12300,12300,6003,-150
12350,12400,12350,12350,5439,-100
12350,12400,12350,12350,6724,-100
12350,12400,12350,12350,4136,-150
12400,12400,12350,12350,7346,-150
12400,12450,12350,12400,8985,-200
12400,12450,12400,12400,5053,-200
12400,12450,12400,12400,9127,-250
12450,12500,12400,12400,7501,-150
12450,12500,12450,12450,3251,-100
12450,12500,12450,12450,2807,-150
12450,12500,12450,12450,3474,-150
12450,12500,12450,12500,3354,-50
12450,12500,12450,12500,4854,-50
12450,12500,12450,12450,4055,-100
12500,12500,12450,12450,12848,-100
12500,12550,12450,12450,11329,-100
12500,12550,12500,12500,3756,-50
12600,12600,12500,12500,10275,-50
12650,12650,12550,12600,5103,50
12600,12600,12600,12600,5373,50
12550,12650,12550,12650,4928,100
12600,12650,12550,12550,5267,-50
12600,12650,12550,12550,4649,0
12600,12650,12550,12600,3778,0
12550,12650,12550,12600,3464,0
12550,12650,12550,12550,3034,-50
12550,12600,12550,12550,2910,-50
12550,12600,12550,12550,2722,-50
12550,12650,12550,12550,3620,-100
12550,12600,12550,12550,4168,-100
12550,12650,12550,12550,4828,-50
12550,12600,12550,12550,4021,-50
12550,12600,12550,12550,2985,-100
12550,12600,12550,12550,2915,-100
12600,12600,12550,12550,4287,-100
12550,12600,12550,12600,2996,-50
12650,12650,12550,12550,5601,-100
12600,12650,12600,12600,2709,-50
12600,12650,12600,12600,2701,-50
12600,12700,12600,12600,5405,-50
12600,12650,12600,12600,3257,-100
12600,12700,12600,12600,3984,-50
12600,12650,12600,12650,2866,-100
12600,12650,12600,12650,9776,-100
12600,12650,12600,12600,14631,-100
12700,12700,12600,12600,2491,-150
12650,12700,12600,12650,3765,0
12650,12750,12650,12650,3772,0
12650,12750,12650,12650,4803,-50
12650,12700,12600,12650,4043,0
12650,12700,12600,12650,2782,0
12650,12700,12600,12650,5075,0
12650,12700,12650,12650,5454,0
12700,12700,12650,12650,4734,0
12650,12750,12650,12700,6492,50
12700,12750,12650,12650,3525,0
12750,12800,12650,12750,4784,50
12750,12800,12700,12750,5835,50
12700,12700,12700,12700,2851,0
12650,12750,12600,12750,5710,50
12650,12700,12600,12650,13980,-100
12650,12700,12650,12650,5527,-100
12700,12700,12650,12700,4486,-50
12650,12700,12650,12650,3951,-100
12650,12700,12600,12650,6593,-100
12650,12700,12650,12650,4289,-50
12650,12700,12650,12650,4215,-100
12650,12700,12650,12650,2486,-50
12700,12750,12650,12650,2265,-100
12700,12750,12650,12650,6708,0
12700,12750,12700,12700,2580,50
12700,12750,12700,12700,1284,50
12750,12750,12700,12700,1211,50
12750,12800,12700,12700,3989,50
12750,12800,12700,12750,2001,100
12800,12800,12700,12750,2288,150
12750,12800,12700,12750,2783,100
12750,12800,12750,12750,2696,50
12700,12800,12650,12750,5154,50
12700,12750,12700,12700,1698,0
12700,12750,12700,12750,2475,50
12700,12750,12700,12700,2439,50
